Xcases,Ycases,Xdeaths,Ydeaths
2020/01/22,392.1568627450906,2020/01/22,-3.8163363171361198
2020/01/23,392.1568627450906,2020/01/23,-4.655530690537489
2020/01/24,784.3137254901812,2020/01/24,6.0741687979539165
2020/01/25,980.3921568627411,2020/01/25,39.52205882352882
2020/01/26,1372.5490196078317,2020/01/26,27.233855498720914
2020/01/27,2352.941176470573,2020/01/27,49.352621483375515
2020/01/28,4705.882352941146,2020/01/28,105.87835677749308
2020/01/29,5686.274509803916,2020/01/29,105.03916240409171
2020/01/30,7058.823529411748,2020/01/30,149.93606138107407
2020/01/31,8823.529411764699,2020/01/31,183.44389386189232
2020/02/01,10784.313725490181,2020/02/01,228.40073529411757
2020/02/02,15686.274509803916,2020/02/02,342.11157289002495
2020/02/03,18235.29411764705,2020/02/03,386.9485294117644
2020/02/04,22156.862745098042,2020/02/04,477.82129156010205
2020/02/05,25490.19607843137,2020/02/05,511.38906649616365
2020/02/06,28039.21568627449,2020/02/06,613.7108375959078
2020/02/07,31176.470588235286,2020/02/07,681.5057544757028
2020/02/08,33137.25490196077,2020/02/08,772.2586317135542
2020/02/09,35686.2745098039,2020/02/09,863.1313938618923
2020/02/10,37058.82352941175,2020/02/10,953.9442135549866
2020/02/11,38039.21568627449,2020/02/11,1056.0861572890021
2020/02/12,38627.45098039214,2020/02/12,1055.1270780051145
2020/02/13,52549.01960784313,2020/02/13,1352.0220588235288
2020/02/14,56862.7450980392,2020/02/14,1488.5709718670073
2020/02/15,57254.90196078431,2020/02/15,1636.6288363171348
2020/02/16,57647.0588235294,2020/02/16,1738.9506074168794
2020/02/17,57647.0588235294,2020/02/17,1841.0326086956518
2020/02/18,57843.13725490196,2020/02/18,1954.6835038363165
2020/02/19,56470.58823529411,2020/02/19,2068.5142263427106
2020/02/20,54509.803921568615,2020/02/20,2205.0031969309457
2020/02/21,54313.72549019607,2020/02/21,2192.7749360613807
2020/02/22,51960.78431372548,2020/02/22,2420.975863171355
2020/02/23,50784.31372549018,2020/02/23,2397.2985933503833
2020/02/24,49607.843137254895,2020/02/24,2579.583599744245
2020/02/25,47647.0588235294,2020/02/25,2613.0914322250637
2020/02/26,45098.03921568625,2020/02/27,2692.395300511508
2020/02/27,42941.17647058821,2020/02/27,2714.574008951406
2020/02/28,39803.92156862744,2020/02/28,2736.572890025575
2020/02/29,37058.82352941175,2020/02/29,2793.0386828644496
2020/03/01,34705.882352941175,2020/03/02,2826.486572890025
2020/03/02,32156.862745098028,2020/03/02,2860.1142902813294
2020/03/03,29999.999999999985,2020/03/04,2916.4601982097183
2020/03/04,27450.98039215684,2020/03/05,2927.1299552429664
2020/03/05,25294.117647058796,2020/03/05,2972.206681585677
2020/03/06,23137.254901960754,2020/03/07,3016.92375319693
2020/03/07,22156.862745098042,2020/03/08,3027.653452685421
2020/03/08,20000,2020/03/08,3049.892103580562
2020/03/09,18627.45098039214,2020/03/10,3083.2800511508945
2020/03/10,17254.901960784307,2020/03/11,3082.500799232736
2020/03/11,15686.274509803916,2020/03/12,3104.5596227621477
2020/03/12,14901.960784313735,2020/03/13,3126.6184462915594
2020/03/13,13333.333333333314,2020/03/14,3137.1683184143217
2020/03/14,11764.705882352922,2020/03/14,3148.017902813299
2020/03/15,10392.15686274509,2020/03/15,3147.178708439897
2020/03/16,9411.76470588235,2020/03/16,3157.788523017902
2020/03/17,8823.529411764699,2020/03/18,3179.787404092071
2020/03/18,7843.137254901958,2020/03/19,3201.9061700767256
